Feature,Importance
aqi_roll_mean_3,0.95353514
aqi_lag_2,0.009577811
hour_cos,0.0071700932
pm25_roll_mean_24,0.006872973
aqi_lag_3,0.006720983
aqi_lag_1,0.001965889
ozone,0.0017239898
aqi_roll_max_24,0.0013676105
sulphur_dioxide,0.0012185408
wdir_SW,0.00092074275
pm25_roll_max_24,0.00088478945
pm25_lag_3,0.0007531199
aqi_lag_6,0.00051378715
hour,0.0004793919
hour_sin,0.00040025174
shortwave_radiation,0.00029690418
pm10,0.00028234383
aqi_roll_mean_6,0.00028204022
nitrogen_dioxide,0.00022698325
pm25_lag_6,0.00020519477
aqi_roll_mean_12,0.00020279977
aqi_roll_std_24,0.00020257242
pm2_5,0.00018474636
carbon_monoxide,0.00018096948
pm25_lag_1,0.00017218817
temperature_2m,0.00015796267
month_sin,0.00015540594
humidity_pm25,0.00015162572
et0_fao_evapotranspiration,0.00014556812
wdir_SE,0.00013589773
pm25_lag_24,0.00013479555
ventilation_idx,0.00012020315
boundary_layer_height,0.000109495486
month_cos,0.00010799828
surface_pressure,0.00010587539
aqi_lag_24,0.00010138931
aqi_lag_12,0.00010040894
dow_sin,9.863228e-05
aqi_roll_min_24,9.6149364e-05
year,9.506557e-05
wind_lag_6,8.31998e-05
dow_cos,8.2043e-05
wdir_S,8.1796294e-05
wind_gusts_10m,7.8958234e-05
aqi_lag_72,7.8789526e-05
relative_humidity_2m,7.7999655e-05
wdir_W,7.717218e-05
day_of_week,7.523212e-05
aqi_lag_48,7.16741e-05
aqi_roll_mean_24,7.0614245e-05
season_winter,6.917386e-05
wind_speed_10m,6.555667e-05
wind_direction_10m,6.4625216e-05
aqi_roll_mean_48,6.269738e-05
week_of_year,6.254347e-05
dew_point_2m,6.0305672e-05
dust,5.7813417e-05
precip_sum_24h,5.6038618e-05
day_of_year,5.5675526e-05
wind_lag_1,5.283029e-05
inversion_proxy,4.920424e-05
wdir_NW,4.2588006e-05
month,4.000875e-05
cloud_cover,3.9224073e-05
precip_lag_12,3.8961407e-05
precip_sum_6h,3.764166e-05
precipitation,3.647741e-05
precip_lag_1,2.8013712e-05
precip_lag_24,2.7435824e-05
precip_lag_6,2.7146205e-05
season_summer,2.622787e-05
season_post_monsoon,2.2382372e-05
wdir_NE,1.889017e-05
precip_lag_3,1.7838182e-05
is_festival,4.8168463e-06
is_weekend,0.0
wdir_N,0.0
